ClaimIdentifier,Claim Type,Insured ID  Number,Patient_LastName,Patient_FirstName,Patient_MI,Patient_DOB,Patient_Sex,Insureds_LastName,Insureds_FirstName,Insureds_MI,Patient_Address1,Patient_Address2,Patient_City,Patient_State,Patient_Zip,Patient_Phone,Patient_RelationshipToInsured,Insureds_Address1,Insureds_Address2,Insureds_City,Insureds_State,Insureds_Zip,Insureds_Phone,Patient_Status_Marriage,Patient_Status_Employment,Patient_ConditionRelatedTo_Employment,Patient_ConditionRelatedTo_AutoAccident,Patient_ConditionRelatedTo_OtherAccident,Date_Of_Current,First_Date_Of_Illness,Provider_Referring_Name,Provider_Referring_NPI,DiagnosisCode1,DiagnosisCode2,DiagnosisCode3,DiagnosisCode4,CLM_1_From_Date,CLM_1_To_Date,CLM_1_PlaceOfService,CLM_1_CPT,CLM_1_CPT_Mod1,CLM_1_CPT_Mod2,CLM_1_CPT_Mod3,CLM_1_CPT_Mod4,CLM_1_CPT_DiagnosisPointer,CLM_1_CPT_Charges,CLM_1_CPT_DaysOrUnits,CLM_1_NPI,CLM_2_From_Date,CLM_2_To_Date,CLM_2_PlaceOfService,CLM_2_CPT,CLM_2_CPT_Mod1,CLM_2_CPT_Mod2,CLM_2_CPT_Mod3,CLM_2_CPT_Mod4,CLM_2_CPT_DiagnosisPointer,CLM_2_CPT_Charges,CLM_2_CPT_DaysOrUnits,CLM_2_NPI,CLM_3_From_Date,CLM_3_To_Date,CLM_3_PlaceOfService,CLM_3_CPT,CLM_3_CPT_Mod1,CLM_3_CPT_Mod2,CLM_3_CPT_Mod3,CLM_3_CPT_Mod4,CLM_3_CPT_DiagnosisPointer,CLM_3_CPT_Charges,CLM_3_CPT_DaysOrUnits,CLM_3_NPI,CLM_4_From_Date,CLM_4_To_Date,CLM_4_PlaceOfService,CLM_4_CPT,CLM_4_CPT_Mod1,CLM_4_CPT_Mod2,CLM_4_CPT_Mod3,CLM_4_CPT_Mod4,CLM_4_CPT_DiagnosisPointer,CLM_4_CPT_Charges,CLM_4_CPT_DaysOrUnits,CLM_4_NPI,CLM_5_From_Date,CLM_5_To_Date,CLM_5_PlaceOfService,CLM_5_CPT,CLM_5_CPT_Mod1,CLM_5_CPT_Mod2,CLM_5_CPT_Mod3,CLM_5_CPT_Mod4,CLM_5_CPT_DiagnosisPointer,CLM_5_CPT_Charges,CLM_5_CPT_DaysOrUnits,CLM_5_NPI,CLM_6_From_Date,CLM_6_To_Date,CLM_6_PlaceOfService,CLM_6_CPT,CLM_6_CPT_Mod1,CLM_6_CPT_Mod2,CLM_6_CPT_Mod3,CLM_6_CPT_Mod4,CLM_6_CPT_DiagnosisPointer,CLM_6_CPT_Charges,CLM_6_CPT_DaysOrUnits,CLM_6_NPI,FedTaxID,PatientAccountNumber,TotalCharge,AmountPaid,BalanceDue,ServiceFacility,BillingProviderInfo,DataGenesis,DataType
568,MEDICAID,IE796bJ49pdM,Fockes,Avery, ,5/26/1983,M,Fockes,Avery, ,9 Sherman Park,UNIT 106,Washington,D.C.,20587,202-725-3775,SELF,9 Sherman Park,UNIT 106,Washington,D.C.,20587,202-725-3775,OTHER,EMPLOYED,NO,NO,YES,6/28/2019,,,,R06.02,,,,6/28/2019,6/28/2019,11,99203,,,,,1,1812.73,1,2374300175,6/28/2019,6/28/2019,11,93000,,,,,1,1701.05,1,2536050724,6/28/2019,6/28/2019,11,99215,,,,,1,1300.22,1,1581560652,6/28/2019,6/28/2019,21,69210,,,,,1,365.7,1,1900020073,6/28/2019,6/28/2019,31,93000,,,,,1,489.67,1,1153393968,6/28/2019,6/28/2019,12,99205,,,,,1,1803.7,1,1018493702,79-3913772,306-62-0543,7473.07,0,7473.07,"516 Colorado Terrace, Washington D.C., 20057","516 Colorado Terrace, Washington D.C., 20057",Noisy,Claim
569,MEDICAID,5N4iU4f4130s,Boynes,Archie, ,12/14/1996,M,Boynes,Archie, ,0 Clemons Lane,UNIT 747,Washington,D.C.,20278,202-727-7863,SELF,0 Clemons Lane,UNIT 747,Washington,D.C.,20278,202-727-7863,OTHER,PART-TIME STUDENT,YES,NO,NO,4/30/2018,,,,J30.2,,,,4/30/2018,4/30/2018,21,99204,,,,,1,350.09,1,1456122224,4/30/2018,4/30/2018,2,99214,,,,,1,306.4,1,1173434577,4/30/2018,4/30/2018,31,99214,,,,,1,1051.34,1,2525942599,4/30/2018,4/30/2018,31,99214,,,,,1,849.43,1,2283062518,4/30/2018,4/30/2018,12,99212,,,,,1,785.88,1,1018493702,4/30/2018,4/30/2018,11,99212,,,,,1,1940.64,1,2283062518,95-6186876,596-07-0907,5283.78,0,5283.78,"8710 Lighthouse Bay Lane, Washington D.C., 20055","8710 Lighthouse Bay Lane, Washington D.C., 20055",Noisy,Claim
570,MEDICAID,K56K235S99nP,Pollett,Kerianne, ,4/20/1982,F,Pollett,Kerianne, ,36 Rigney Drive,SUITE 30,Washington,D.C.,20586,202-558-5868,SELF,36 Rigney Drive,SUITE 30,Washington,D.C.,20586,202-558-5868,OTHER,FULL-TIME STUDENT,NO,NO,NO,9/20/2019,11/4/2016,Dr. Hannis Gummery,2107071811,C73,B97.89,,R06.02,9/20/2019,9/20/2019,31,99395,,,,,1,1607.62,1,2303217404,9/20/2019,9/20/2019,2,99215,,,,,1,1331.96,1,2283062518,9/20/2019,9/20/2019,12,99306,,,,,1,679.36,1,2867882669,9/20/2019,9/20/2019,21,99213,,,,,1,1695.84,1,1879008081,9/20/2019,9/20/2019,21,99221,,,,,1,649.28,1,1879008081,9/20/2019,9/20/2019,2,99309,,,,,1,1224.7,1,2867882669,46-4439587,383-60-3713,7188.76,0,7188.76,"556 Eagle Crest Place, Washington D.C., 20050","556 Eagle Crest Place, Washington D.C., 20050",Noisy,Claim
571,MEDICAID,e6H3G6bPbBCh,Bougen,Lyman, ,9/14/1986,M,Bougen,Lyman, ,92 Prairie Rose Circle,,Washington,D.C.,20223,202-832-5697,SELF,92 Prairie Rose Circle,,Washington,D.C.,20223,202-832-5697,OTHER,PART-TIME STUDENT,NO,NO,NO,12/2/2019,,,,J30.2,,,,12/2/2019,12/2/2019,21,96127,6A,48,AG,,1,1249.2,1,2374300175,12/2/2019,12/2/2019,11,99310,I9,ML,2M,,1,1896.84,1,2777193110,12/2/2019,12/2/2019,21,99221,1O,7E,T0,,1,1811.19,1,2777193110,12/2/2019,12/2/2019,31,99203,2,8Z,T0,,1,1829.16,1,2747742614,12/2/2019,12/2/2019,2,69210,P0,N6,O6,,1,1043.73,1,2402879641,12/2/2019,12/2/2019,31,99214,52,X7,42,,1,934.98,1,1173434577,14-2587878,187-83-4173,8765.1,0,8765.1,"1917 Gina Lane, Washington D.C., 20060","1917 Gina Lane, Washington D.C., 20060",Noisy,Claim
572,MEDICAID,0N290Kq6T1v0,Overpool,Michele, ,12/2/2010,M,Overpool,Michele, ,2 Meadow Vale Point,SUITE 599,Washington,D.C.,20579,202-166-7728,SELF,2 Meadow Vale Point,SUITE 599,Washington,D.C.,20579,202-166-7728,MARRIED,EMPLOYED,NO,NO,NO,5/22/2020,,,,R05,,,,5/22/2020,5/22/2020,31,99309,F4,,,,1,1808.95,1,1794634850,5/22/2020,5/22/2020,31,99214,26,,,,1,445.77,1,2047646400,5/22/2020,5/22/2020,11,99212,5W,,,,1,1147.84,1,1173953828,5/22/2020,5/22/2020,2,90688,B8,,,,1,985.57,1,2637980735,5/22/2020,5/22/2020,21,99395,4A,,,,1,1086.22,1,1900020073,5/22/2020,5/22/2020,21,99309,69,,,,1,767.73,1,2141027533,99-3691925,242-37-3751,6242.08,0,6242.08,"4 6th Pass, Washington D.C., 20058","4 6th Pass, Washington D.C., 20058",Noisy,Claim
573,MEDICAID,oJpvI8fmSyD1,Welbelove,Katusha, ,9/19/2003,F,Welbelove,Katusha, ,5 Hudson Avenue,,Washington,D.C.,20590,202-943-5627,SELF,5 Hudson Avenue,,Washington,D.C.,20590,202-943-5627,SINGLE,FULL-TIME STUDENT,YES,YES,NO,5/8/2018,,,,C73,,M54.5,,5/8/2018,5/8/2018,31,99203,15,DP,UJ,P8,1,1084.7,1,1513476213,5/8/2018,5/8/2018,21,99395,7X,U4,ND,CZ,1,889.67,1,2810623947,5/8/2018,5/8/2018,11,69210,T1,K3,2V,QR,1,1091.97,1,2292387037,5/8/2018,5/8/2018,2,99212,4P,W3,2V,QR,1,669.53,1,1173434577,5/8/2018,5/8/2018,31,99214,ON,18,2D,8,1,1349.64,1,1528997797,5/8/2018,5/8/2018,2,99212,E7,5Z,3H,59,1,1871.49,1,2265005859,30-4407046,867-78-6986,6957,0,6957,"68 Farwell Parkway, Washington D.C., 20054","68 Farwell Parkway, Washington D.C., 20054",Noisy,Claim
574,MEDICAID,K6w35bE9iov9,Cordaroy,Grannie, ,4/1/1959,M,Cordaroy,Grannie, ,3 Garrison Parkway,UNIT 481,Washington,D.C.,20269,202-389-4129,SELF,3 Garrison Parkway,UNIT 481,Washington,D.C.,20269,202-389-4129,SINGLE,PART-TIME STUDENT,NO,NO,NO,10/21/2019,,,,R06.02,,U07.2,,10/21/2019,10/21/2019,21,99203,,,,,1,861.49,1,2265005859,10/21/2019,10/21/2019,31,99231,,,,,1,797.07,1,1879008081,10/21/2019,10/21/2019,11,99215,,,,,1,1423.26,1,2951611356,10/21/2019,10/21/2019,2,99222,,,,,1,1034.76,1,1581560652,10/21/2019,10/21/2019,12,90688,,,,,1,1655.23,1,2536050724,10/21/2019,10/21/2019,12,81002,,,,,1,1999.76,1,2141027533,50-5511947,373-59-9402,7771.57,0,7771.57,"25 Anzinger Crossing, Washington D.C., 20058","25 Anzinger Crossing, Washington D.C., 20058",Noisy,Claim
575,MEDICAID,314ZOAR45Ucr,Matijasevic,Mable, ,1/21/1983,F,Matijasevic,Mable, ,84040 Forster Avenue,,Washington,D.C.,20225,202-359-3289,SELF,84040 Forster Avenue,,Washington,D.C.,20225,202-359-3289,SINGLE,EMPLOYED,NO,NO,NO,5/1/2020,,,,M54.5,,,,5/1/2020,5/1/2020,11,99232,2E,RE,2U,,1,997.35,1,2402879641,5/1/2020,5/1/2020,21,93000,LN,9N,9O,,1,1403.98,1,2867882669,5/1/2020,5/1/2020,31,99213,K1,50,S0,,1,1466.35,1,1173434577,5/1/2020,5/1/2020,11,90471,YZ,3H,S0,,1,666.01,1,2283062518,5/1/2020,5/1/2020,2,99213,EH,14,SX,,1,658.13,1,2951611356,5/1/2020,5/1/2020,2,99306,13,15,ZU,,1,363.72,1,2292387037,93-5834054,129-66-9280,5555.54,0,5555.54,"352 Paget Terrace, Washington D.C., 20055","352 Paget Terrace, Washington D.C., 20055",Noisy,Claim
576,MEDICAID,z9R9jHAjifn9,Mitchelson,Elga, ,2/28/1969,F,Mitchelson,Elga, ,687 Warner Parkway,APT 791,Washington,D.C.,20024,202-642-3236,SELF,687 Warner Parkway,APT 791,Washington,D.C.,20024,202-642-3236,SINGLE,PART-TIME STUDENT,NO,NO,NO,11/10/2019,2/18/2016,Psychiatric Medical Practice,2283062518,F33.1,J00,,,11/10/2019,11/10/2019,2,99350,UE,UG,S3,,1,1685.31,1,1085601728,11/10/2019,11/10/2019,21,99309,0L,29,76,,1,1760.69,1,1900020073,11/10/2019,11/10/2019,21,99213,Z7,79,N5,,1,862.1,1,1528997797,11/10/2019,11/10/2019,2,99215,W6,OG,N5,,1,1584.87,1,2292387037,11/10/2019,11/10/2019,12,99222,5D,97,50,,1,1073.4,1,1879008081,11/10/2019,11/10/2019,12,99348,JY,L2,SZ,,1,1211.58,1,1528997797,59-2936831,155-84-9148,8177.95,0,8177.95,"97827 Chive Alley, Washington D.C., 20060","97827 Chive Alley, Washington D.C., 20060",Noisy,Claim
577,MEDICAID,0251psQ7XQz3,Assante,Shawnee, ,10/28/1998,F,Assante,Shawnee, ,3 Stoughton Plaza,,Washington,D.C.,20098,202-118-4298,SELF,3 Stoughton Plaza,,Washington,D.C.,20098,202-118-4298,MARRIED,FULL-TIME STUDENT,NO,NO,NO,2/17/2019,,,,F10.1,,,F10.1,2/17/2019,2/17/2019,2,69210,G0,N3,Q0,,1,1476.29,1,2951611356,2/17/2019,2/17/2019,12,99310,0A,Y6,XF,,1,1528.41,1,1173434577,2/17/2019,2/17/2019,12,99205,PK,V6,W8,,1,795.1,1,1581560652,2/17/2019,2/17/2019,11,99231,Y5,6S,W8,,1,558.61,1,2047646400,2/17/2019,2/17/2019,31,99395,FJ,40,FM,,1,1280.14,1,2283062518,2/17/2019,2/17/2019,21,99223,NO,SL,N2,,1,1230.28,1,1251486319,06-4507825,381-95-1970,6868.83,0,6868.83,"980 Cody Terrace, Washington D.C., 20059","980 Cody Terrace, Washington D.C., 20059",Noisy,Claim
578,MEDICAID,H741FA4akCk3,Kunzler,Tod, ,6/16/1981,M,Kunzler,Tod, ,02030 Michigan Plaza,,Washington,D.C.,20309,202-152-0259,SELF,02030 Michigan Plaza,,Washington,D.C.,20309,202-152-0259,MARRIED,FULL-TIME STUDENT,NO,NO,NO,7/20/2019,2/9/2016,DC Health Practice,2525942599,E78.00,F10.1,,,7/20/2019,7/20/2019,11,99212,,,,,1,307.14,1,2777193110,7/20/2019,7/20/2019,21,90688,,,,,1,1816.56,1,1153393968,7/20/2019,7/20/2019,12,99348,,,,,1,1883.28,1,1214955140,7/20/2019,7/20/2019,11,99221,,,,,1,1268.4,1,1173434577,7/20/2019,7/20/2019,11,99306,,,,,1,1601.63,1,1153393968,7/20/2019,7/20/2019,11,99349,,,,,1,1261.23,1,1153393968,39-8301158,475-84-0890,8138.24,0,8138.24,"94 Bunker Hill Way, Washington D.C., 20058","94 Bunker Hill Way, Washington D.C., 20058",Noisy,Claim
579,MEDICAID,59c618r7950s,Lethem,Rosetta, ,7/7/2009,F,Lethem,Rosetta, ,4696 Mcguire Junction,APT 769,Washington,D.C.,20282,202-738-8829,SELF,4696 Mcguire Junction,APT 769,Washington,D.C.,20282,202-738-8829,SINGLE,EMPLOYED,NO,NO,NO,8/13/2019,5/23/2017,Dr. Torey Pouton,2402879641,J30.2,J43.1,R11.2,F10.1,8/13/2019,8/13/2019,2,99233,0O,E8,I8,9Z,1,1044.23,1,2777193110,8/13/2019,8/13/2019,31,99348,BR,CT,YH,P4,1,1059.95,1,1153393968,8/13/2019,8/13/2019,2,99215,5N,XU,73,5,1,1755.84,1,2747742614,8/13/2019,8/13/2019,21,99211,C7,G9,73,5,1,1149.82,1,2047646400,8/13/2019,8/13/2019,12,99222,3H,U6,O1,92,1,481.98,1,1794634850,8/13/2019,8/13/2019,21,96127,NG,SY,0I,J2,1,1710.41,1,2047646400,39-5534735,864-57-6202,7202.23,0,7202.23,"8235 Stoughton Junction, Washington D.C., 20057","8235 Stoughton Junction, Washington D.C., 20057",Noisy,Claim
580,MEDICAID,38ROkdM3t318,Nuzzetti,Hetti, ,8/20/1956,F,Nuzzetti,Hetti, ,5 Pond Parkway,,Washington,D.C.,20147,202-839-8019,SELF,5 Pond Parkway,,Washington,D.C.,20147,202-839-8019,SINGLE,PART-TIME STUDENT,NO,NO,NO,5/2/2020,,,,J11.1,,,,5/2/2020,5/2/2020,11,99349,,,,,1,1040.84,1,2951611356,5/2/2020,5/2/2020,31,90688,,,,,1,1115.36,1,1900020073,5/2/2020,5/2/2020,12,99213,,,,,1,1943.58,1,1817398960,5/2/2020,5/2/2020,2,99350,,,,,1,685.48,1,2141027533,5/2/2020,5/2/2020,21,99215,,,,,1,1821.19,1,1900020073,5/2/2020,5/2/2020,12,96127,,,,,1,635.26,1,2747742614,22-7719700,652-46-5193,7241.71,0,7241.71,"87520 Ohio Center, Washington D.C., 20058","87520 Ohio Center, Washington D.C., 20058",Noisy,Claim
581,MEDICAID,8B26U53P18HR,Matijasevic,Mable, ,1/21/1983,F,Matijasevic,Mable, ,84040 Forster Avenue,,Washington,D.C.,20225,202-724-0117,SELF,84040 Forster Avenue,,Washington,D.C.,20225,202-724-0117,OTHER,FULL-TIME STUDENT,NO,NO,NO,8/3/2019,,,,C73,,,E66.01,8/3/2019,8/3/2019,11,99221,,,,,1,606.86,1,1214955140,8/3/2019,8/3/2019,12,69210,,,,,1,1068.97,1,1173434577,8/3/2019,8/3/2019,12,99213,,,,,1,1351.82,1,2536050724,8/3/2019,8/3/2019,2,81002,,,,,1,1265.22,1,2637980735,8/3/2019,8/3/2019,31,99310,,,,,1,388.52,1,1794634850,8/3/2019,8/3/2019,31,99214,,,,,1,438.07,1,2374300175,11-5398818,129-66-9280,5119.46,0,5119.46,"07 Westend Street, Washington D.C., 20055","07 Westend Street, Washington D.C., 20055",Noisy,Claim
582,MEDICAID,2wYY333oi4uV,Reinard,Alane, ,4/5/1981,F,Reinard,Alane, ,17850 Old Gate Point,,Washington,D.C.,20492,202-306-6270,SELF,17850 Old Gate Point,,Washington,D.C.,20492,202-306-6270,MARRIED,FULL-TIME STUDENT,NO,NO,NO,7/16/2019,,,,U07.1,,,,7/16/2019,7/16/2019,21,99348,3,,,,1,1258.82,1,1794634850,7/16/2019,7/16/2019,2,81002,W4,,,,1,1010,1,2047646400,7/16/2019,7/16/2019,11,99203,67,,,,1,1053.86,1,2047646400,7/16/2019,7/16/2019,2,99310,Z7,,,,1,1968.12,1,1085601728,7/16/2019,7/16/2019,2,99222,9E,,,,1,320.65,1,2402879641,7/16/2019,7/16/2019,31,99231,Y9,,,,1,1970.15,1,1513476213,99-4135050,795-75-1118,7581.6,0,7581.6,"11 Northland Point, Washington D.C., 20058","11 Northland Point, Washington D.C., 20058",Noisy,Claim
583,MEDICAID,54L6H43MV56a,Foot,Ambur, ,5/24/1952,F,Foot,Ambur, ,28262 Scott Circle,UNIT 444,Washington,D.C.,20222,202-252-0529,SELF,28262 Scott Circle,UNIT 444,Washington,D.C.,20222,202-252-0529,OTHER,PART-TIME STUDENT,NO,NO,NO,9/4/2018,,,,R53.83,,,R29.6,9/4/2018,9/4/2018,12,99223,3J,63,F6,,1,1016.1,1,1251486319,9/4/2018,9/4/2018,11,96127,H2,NG,8N,,1,897.1,1,2637980735,9/4/2018,9/4/2018,11,99231,9V,SK,8L,,1,736.31,1,2637980735,9/4/2018,9/4/2018,12,99306,I3,69,8L,,1,1537.54,1,1817398960,9/4/2018,9/4/2018,31,96127,5I,8N,M6,,1,672.04,1,1900020073,9/4/2018,9/4/2018,12,99213,3A,HN,V6,,1,1397.92,1,1513476213,00-7378362,513-76-8225,6257.01,0,6257.01,"4956 Spaight Trail, Washington D.C., 20058","4956 Spaight Trail, Washington D.C., 20058",Noisy,Claim
584,MEDICAID,1fty9541ty32,Lethem,Rosetta, ,7/7/2009,F,Lethem,Rosetta, ,4696 Mcguire Junction,APT 769,Washington,D.C.,20282,202-371-9614,SELF,4696 Mcguire Junction,APT 769,Washington,D.C.,20282,202-371-9614,OTHER,EMPLOYED,NO,YES,NO,9/30/2019,,,,F33.1,,,,9/30/2019,9/30/2019,31,99203,HA,N3,6,,1,739.4,1,2810623947,9/30/2019,9/30/2019,11,99348,BA,YD,V7,,1,1901.86,1,2047646400,9/30/2019,9/30/2019,11,99205,VD,7,X1,,1,1244.24,1,2867882669,9/30/2019,9/30/2019,11,99212,15,79,X1,,1,769.78,1,2292387037,9/30/2019,9/30/2019,2,99212,UJ,HS,0H,,1,1909.07,1,1581560652,9/30/2019,9/30/2019,31,90471,64,2,8K,,1,370.02,1,2141027533,80-1857456,864-57-6202,6934.37,0,6934.37,"0019 Ridge Oak Park, Washington D.C., 20056","0019 Ridge Oak Park, Washington D.C., 20056",Noisy,Claim
585,MEDICAID,9X4SO9v668Re,Castanaga,Jerri, ,7/1/1987,M,Castanaga,Jerri, ,71285 Birchwood Terrace,,Washington,D.C.,20150,202-461-6005,SELF,71285 Birchwood Terrace,,Washington,D.C.,20150,202-461-6005,MARRIED,EMPLOYED,NO,NO,NO,6/11/2019,,,,R29.6,,J30.2,,6/11/2019,6/11/2019,12,99350,I6,E6,P0,PW,1,920.11,1,2141027533,6/11/2019,6/11/2019,12,99213,3I,18,E8,88,1,1133.17,1,1327732647,6/11/2019,6/11/2019,2,99395,W8,LK,MZ,28,1,415.36,1,2107071811,6/11/2019,6/11/2019,12,99211,9Z,UN,MZ,28,1,725.53,1,1794634850,6/11/2019,6/11/2019,31,99395,X2,7W,B5,54,1,1077.71,1,1456122224,6/11/2019,6/11/2019,21,99215,C3,GS,V5,D5,1,1438.72,1,1879008081,97-1364676,173-04-8402,5710.6,0,5710.6,"210 Farragut Parkway, Washington D.C., 20050","210 Farragut Parkway, Washington D.C., 20050",Noisy,Claim
586,MEDICAID,78Oo55PmQ9t2,Yate,Harper, ,3/30/1994,M,Yate,Harper, ,97 Larry Place,APT 186,Washington,D.C.,20559,202-082-6902,SELF,97 Larry Place,APT 186,Washington,D.C.,20559,202-082-6902,OTHER,EMPLOYED,NO,NO,NO,10/25/2018,,,,C73,,C73,,10/25/2018,10/25/2018,2,69210,21,8D,T4,76,1,769.66,1,1456122224,10/25/2018,10/25/2018,11,99395,N3,I5,X2,C7,1,1757.77,1,1513476213,10/25/2018,10/25/2018,21,99215,0,5A,DB,OC,1,1016.03,1,2777193110,10/25/2018,10/25/2018,2,99348,5I,1E,DB,OC,1,1167.01,1,2141027533,10/25/2018,10/25/2018,21,99350,73,36,D2,2T,1,1554.5,1,2141027533,10/25/2018,10/25/2018,11,81002,R1,7G,MD,4Y,1,1068.01,1,2402879641,34-3704399,506-45-7968,7332.98,0,7332.98,"6 Kenwood Pass, Washington D.C., 20054","6 Kenwood Pass, Washington D.C., 20054",Noisy,Claim
587,MEDICAID,5QTO5X8TB9Mw,Jodlowski,Gilberto, ,1/23/1964,M,Jodlowski,Gilberto, ,34 Linden Street,,Washington,D.C.,20304,202-330-1619,SELF,34 Linden Street,,Washington,D.C.,20304,202-330-1619,SINGLE,FULL-TIME STUDENT,NO,NO,NO,3/31/2020,,,,U07.1,,,,3/31/2020,3/31/2020,11,99204,2E,,,,1,1308.86,1,1794634850,3/31/2020,3/31/2020,31,99348,65,,,,1,1736.11,1,1879008081,3/31/2020,3/31/2020,31,69210,48,,,,1,1101.33,1,1900020073,3/31/2020,3/31/2020,31,99213,9U,,,,1,1807.59,1,2107071811,3/31/2020,3/31/2020,21,81002,C6,,,,1,1433.99,1,2141027533,3/31/2020,3/31/2020,2,99348,F9,,,,1,1997.13,1,1513476213,21-1298296,813-53-4540,9385.01,0,9385.01,"28250 Bartillon Road, Washington D.C., 20050","28250 Bartillon Road, Washington D.C., 20050",Noisy,Claim
588,MEDICAID,8ZK921E2VCU2,Stopforth,Fred, ,2/1/2002,M,Stopforth,Fred, ,6 Amoth Point,,Washington,D.C.,20118,202-591-9156,SELF,6 Amoth Point,,Washington,D.C.,20118,202-591-9156,OTHER,EMPLOYED,NO,NO,NO,8/22/2018,,,,G47.00,,E11.42,,8/22/2018,8/22/2018,31,99221,9L,LY,5S,Y6,1,1837.78,1,1251486319,8/22/2018,8/22/2018,12,99214,83,23,I3,GV,1,473.24,1,1327732647,8/22/2018,8/22/2018,21,99350,D0,90,XU,99,1,1349.64,1,2265005859,8/22/2018,8/22/2018,2,81002,JR,46,XU,99,1,1511.04,1,1900020073,8/22/2018,8/22/2018,12,99204,A4,1H,1A,R3,1,373.06,1,1794634850,8/22/2018,8/22/2018,2,99223,9A,1U,65,82,1,923.38,1,1900020073,39-8150523,702-15-4092,6468.14,0,6468.14,"35517 Grover Pass, Washington D.C., 20060","35517 Grover Pass, Washington D.C., 20060",Noisy,Claim
589,MEDICAID,0MP85780Ju55,Sheerman,Whitaker, ,4/21/1938,M,Sheerman,Whitaker, ,0667 Ryan Plaza,SUITE 420,Washington,D.C.,20048,202-765-9099,SELF,0667 Ryan Plaza,SUITE 420,Washington,D.C.,20048,202-765-9099,OTHER,PART-TIME STUDENT,NO,NO,NO,3/21/2019,,,,I10,,M54.32,,3/21/2019,3/21/2019,31,69210,OO,SR,TK,GE,1,1634.29,1,1513476213,3/21/2019,3/21/2019,31,99205,MN,49,S8,98,1,443.98,1,2637980735,3/21/2019,3/21/2019,12,99212,76,8V,P8,2K,1,1586.77,1,1214955140,3/21/2019,3/21/2019,2,99348,SA,55,P8,2K,1,1771.24,1,2777193110,3/21/2019,3/21/2019,11,99213,M1,F7,F2,LX,1,1938.38,1,1513476213,3/21/2019,3/21/2019,12,99211,G0,8V,WE,L9,1,1515.08,1,2265005859,55-7766525,737-83-0432,8889.74,0,8889.74,"246 Browning Trail, Washington D.C., 20060","246 Browning Trail, Washington D.C., 20060",Noisy,Claim
590,MEDICAID,739y5iRWqJv1,Slyme,Regina, ,7/27/1947,F,Slyme,Regina, ,296 Straubel Hill,APT 413,Washington,D.C.,20365,202-072-9267,SELF,296 Straubel Hill,APT 413,Washington,D.C.,20365,202-072-9267,MARRIED,PART-TIME STUDENT,NO,NO,NO,1/14/2019,1/1/2018,Dr. Hannis Gummery,2107071811,I10,G47.00,,,1/14/2019,1/14/2019,21,99213,80,11,PR,,1,1221.42,1,2141027533,1/14/2019,1/14/2019,2,99306,39,87,7I,,1,1271.09,1,1879008081,1/14/2019,1/14/2019,12,99214,F8,G2,6,,1,803.21,1,1214955140,1/14/2019,1/14/2019,2,99306,14,6O,6,,1,943.31,1,2283062518,1/14/2019,1/14/2019,31,99233,K2,FR,34,,1,395.19,1,1173434577,1/14/2019,1/14/2019,31,99203,U4,BR,63,,1,1300.16,1,1528997797,46-6731951,247-16-2170,5934.38,0,5934.38,"86 Erie Avenue, Washington D.C., 20056","86 Erie Avenue, Washington D.C., 20056",Noisy,Claim
591,MEDICAID,1V581513613r,Vaune,Bentlee, ,3/10/1947,M,Vaune,Bentlee, ,4 New Castle Avenue,APT 740,Washington,D.C.,20499,202-300-4460,SELF,4 New Castle Avenue,APT 740,Washington,D.C.,20499,202-300-4460,OTHER,EMPLOYED,YES,NO,NO,10/10/2019,,,,R07.9 ,,,,10/10/2019,10/10/2019,2,99223,5A,,,,1,1473.95,1,1153393968,10/10/2019,10/10/2019,31,99213,LQ,,,,1,337.96,1,2810623947,10/10/2019,10/10/2019,2,90688,M7,,,,1,406.29,1,2536050724,10/10/2019,10/10/2019,2,81002,K9,,,,1,1330.42,1,2951611356,10/10/2019,10/10/2019,21,99222,Z1,,,,1,786.98,1,1456122224,10/10/2019,10/10/2019,12,99309,L3,,,,1,1407.62,1,2777193110,06-9634937,175-55-5810,5743.22,0,5743.22,"60 Clarendon Terrace, Washington D.C., 20059","60 Clarendon Terrace, Washington D.C., 20059",Noisy,Claim
592,MEDICAID,c305opc6g57K,Ralling,Alyssa, ,4/15/1937,F,Ralling,Alyssa, ,377 Fairfield Pass,SUITE 143,Washington,D.C.,20017,202-254-7603,SELF,377 Fairfield Pass,SUITE 143,Washington,D.C.,20017,202-254-7603,OTHER,EMPLOYED,NO,NO,NO,6/8/2020,11/15/2017,Dr. Brittne Colley,2047646400,R11.2,F10.1,,R07.9 ,6/8/2020,6/8/2020,31,99204,,,,,1,782.18,1,1251486319,6/8/2020,6/8/2020,2,99232,,,,,1,581.17,1,2265005859,6/8/2020,6/8/2020,2,99223,,,,,1,657.42,1,2141027533,6/8/2020,6/8/2020,11,99349,,,,,1,541.46,1,1173434577,6/8/2020,6/8/2020,21,99222,,,,,1,1707.9,1,1018493702,6/8/2020,6/8/2020,11,90471,,,,,1,1593.56,1,2867882669,69-0846206,359-50-0676,5863.69,0,5863.69,"02 Rowland Parkway, Washington D.C., 20052","02 Rowland Parkway, Washington D.C., 20052",Noisy,Claim
